depth,TempInSitu,Serial,SalinityInSitu_1pCal
01/15/2021 08:24:52,23.28,316,34.83656298
01/15/2021 08:25:02,23.28,316,34.59268213
01/15/2021 08:25:12,23.28,316,34.90039294
01/15/2021 08:25:22,23.28,316,34.72214442
01/15/2021 08:25:32,23.28,316,34.53603634
01/15/2021 08:25:42,23.27,316,34.42168249
01/15/2021 08:25:52,23.28,316,34.3234635
01/15/2021 08:26:02,23.28,316,34.25828513
01/15/2021 08:26:12,23.28,316,34.17785107
01/15/2021 08:26:22,23.29,316,34.12378799
01/15/2021 08:26:32,23.29,316,34.08385295
01/15/2021 08:26:42,23.3,316,34.03923965
01/15/2021 08:26:52,23.3,316,34.02388061
01/15/2021 08:27:02,23.3,316,33.97801131
01/15/2021 08:27:12,23.32,316,33.96867181
01/15/2021 08:27:22,23.32,316,33.9198035
01/15/2021 08:27:32,23.32,316,33.90768938
01/15/2021 08:27:42,23.32,316,33.8893174
01/15/2021 08:27:52,23.33,316,33.91211965
01/15/2021 08:28:02,23.33,316,33.86650287
01/15/2021 08:28:12,23.33,316,33.8877968
01/15/2021 08:28:22,23.33,316,33.85732082
01/15/2021 08:28:32,23.34,316,33.82836619
01/15/2021 08:28:42,23.34,316,33.82836658
01/15/2021 08:28:52,23.34,316,33.83139323
01/15/2021 08:29:02,23.35,316,33.8450123
01/15/2021 08:29:12,23.35,316,33.81162974
01/15/2021 08:29:22,23.35,316,33.80557939
01/15/2021 08:29:32,23.35,316,33.80255447
01/15/2021 08:29:42,23.37,316,33.76900543
01/15/2021 08:29:52,23.37,316,33.76900581
01/15/2021 08:30:02,23.37,316,33.78412486
01/15/2021 08:30:12,23.37,316,33.77203024
01/15/2021 08:30:22,23.37,316,33.73262574
01/15/2021 08:30:32,23.38,316,33.75833994
01/15/2021 08:30:42,23.37,316,33.75389015
01/15/2021 08:30:52,23.38,316,33.73718158
01/15/2021 08:31:02,23.38,316,33.7281144
01/15/2021 08:31:12,23.38,316,33.7249916
01/15/2021 08:31:22,23.38,316,33.74020535
01/15/2021 08:31:32,23.39,316,33.74767915
01/15/2021 08:31:42,23.39,316,33.73256937
01/15/2021 08:31:52,23.39,316,33.74767992
01/15/2021 08:32:02,23.39,316,33.7355921
01/15/2021 09:54:32,23.39,316,33.7173607
01/15/2021 09:54:42,29.16,316,34.87083632
01/15/2021 09:54:52,29.19,316,34.75244452
01/15/2021 09:55:02,29.14,316,34.75444554
01/15/2021 09:55:12,29.15,316,34.69571793
01/15/2021 09:55:22,29.16,316,34.6200643
01/15/2021 09:55:32,29.19,316,34.48609131
01/15/2021 09:55:42,29.2,316,34.49583116
01/15/2021 09:55:52,29.17,316,34.54809162
01/15/2021 09:56:02,29.17,316,34.48010693
01/15/2021 09:56:12,29.17,316,34.49034897
01/15/2021 09:56:22,29.17,316,34.48355168
01/15/2021 09:56:32,29.14,316,34.48821309
01/15/2021 09:56:42,29.15,316,34.47420813
01/15/2021 09:56:52,29.15,316,34.48436294
01/15/2021 09:57:02,29.14,316,34.43399139
01/15/2021 09:57:12,29.15,316,34.40984842
01/15/2021 09:57:22,29.15,316,34.37604449
01/15/2021 09:57:32,29.15,316,34.369339
01/15/2021 09:57:42,29.14,316,34.36981377
01/15/2021 09:57:52,29.15,316,34.36598685
01/15/2021 09:58:02,29.15,316,34.34913318
01/15/2021 09:58:12,29.16,316,34.30155959
01/15/2021 09:58:22,29.14,316,34.32595249
01/15/2021 09:58:32,29.14,316,34.35966467
01/15/2021 09:58:42,29.12,316,34.34365628
01/15/2021 09:58:52,29.12,316,34.41456174
01/15/2021 09:59:02,29.12,316,34.39760437
01/15/2021 09:59:12,29.14,316,34.34280948
01/15/2021 09:59:22,29.12,316,34.38418495
01/15/2021 09:59:32,29.12,316,34.34365802
01/15/2021 09:59:42,29.12,316,34.39760577
01/15/2021 09:59:52,29.12,316,34.33695024
01/15/2021 10:00:02,29.14,316,34.383233
01/15/2021 10:00:12,29.12,316,34.35716765
01/15/2021 10:00:22,29.14,316,34.31925118
01/15/2021 10:00:32,29.14,316,34.29234112
01/15/2021 10:00:42,29.14,316,34.33945958
01/15/2021 10:00:52,29.12,316,34.32009144
01/15/2021 10:01:02,29.12,316,34.32009178
01/15/2021 10:01:12,29.12,316,34.33024477
01/15/2021 10:01:22,29.14,316,34.31590061
01/15/2021 10:01:32,29.11,316,34.33062136
01/15/2021 10:01:42,29.12,316,34.31003166
01/15/2021 10:01:52,29.1,316,34.33444378
01/15/2021 10:02:02,29.09,316,34.34162304
01/15/2021 10:02:12,29.11,316,34.33742291
01/15/2021 10:02:22,29.11,316,34.30378726
01/15/2021 10:02:32,29.11,316,34.24668204
01/15/2021 10:02:42,29.11,316,34.29707952
01/15/2021 10:02:52,29.14,316,34.24532887
01/15/2021 10:03:02,29.16,316,34.19752693
01/15/2021 10:03:12,29.16,316,34.20757619
01/15/2021 10:03:22,29.17,316,34.2004333
01/15/2021 10:03:32,29.16,316,34.16077655
01/15/2021 10:03:42,29.15,316,34.21807344
01/15/2021 10:03:52,29.15,316,34.21807378
01/15/2021 10:04:02,29.15,316,34.20132235
01/15/2021 10:04:12,29.15,316,34.24488007
01/15/2021 10:04:22,29.15,316,34.18792257
01/15/2021 10:04:32,29.14,316,34.21517077
01/15/2021 10:04:42,29.15,316,34.19797355
01/15/2021 10:04:52,29.14,316,34.17505322
01/15/2021 10:05:02,29.16,316,34.17743471
01/15/2021 10:05:12,29.16,316,34.1708272
01/15/2021 10:05:22,29.16,316,34.16078037
01/15/2021 10:05:32,29.19,316,34.12265526
01/15/2021 10:05:42,29.19,316,34.09597526
01/15/2021 10:05:52,29.19,316,34.11270696
01/15/2021 10:06:02,29.17,316,34.13355998
01/15/2021 10:06:12,29.19,316,34.12934987
01/15/2021 10:06:22,29.19,316,34.09932282
01/15/2021 10:06:32,29.16,316,34.10403877
01/15/2021 10:06:42,29.17,316,34.11356513
01/15/2021 10:06:52,29.17,316,34.09031431
01/15/2021 10:07:02,29.19,316,34.0860303
01/15/2021 10:07:12,29.19,316,34.10267077
01/15/2021 10:07:22,29.2,316,34.10559016
01/15/2021 10:07:32,29.2,316,34.05893691
01/15/2021 10:07:42,29.2,316,34.10893657
01/15/2021 10:07:52,29.19,316,34.08937804
01/15/2021 10:08:02,29.19,316,34.09932629
01/15/2021 10:08:12,29.2,316,34.07557329
01/15/2021 10:08:22,29.2,316,34.06897373
01/15/2021 10:08:32,29.19,316,34.05275708
01/15/2021 10:08:42,29.2,316,34.06228432
01/15/2021 10:08:52,29.2,316,34.04899548
01/15/2021 10:09:02,29.19,316,34.07274139
01/15/2021 10:09:12,29.2,316,34.06563039
01/15/2021 10:09:22,29.2,316,34.05894073
01/15/2021 10:09:32,29.2,316,34.06563108
01/15/2021 10:09:42,29.19,316,34.03612329
01/15/2021 10:09:52,29.2,316,34.0456528
01/15/2021 10:10:02,29.2,316,34.03570956
01/15/2021 10:10:12,29.21,316,34.02191986
01/15/2021 10:10:22,29.21,316,34.03854928
01/15/2021 10:10:32,29.25,316,34.05332486
01/15/2021 10:10:42,29.22,316,34.10130736
01/15/2021 10:10:52,29.19,316,34.15604413
01/15/2021 10:11:02,29.2,316,34.14891525
01/15/2021 10:11:12,29.2,316,34.15895493
01/15/2021 10:11:22,29.2,316,34.15895528
01/15/2021 10:11:32,29.2,316,34.15895563
01/15/2021 10:11:42,29.19,316,34.13270803
01/15/2021 10:11:52,29.2,316,34.15560983
01/15/2021 10:12:02,29.19,316,34.1260154
01/15/2021 10:12:12,29.2,316,34.15226408
01/15/2021 10:12:22,29.2,316,34.11220163
01/15/2021 10:12:32,29.2,316,34.10560093
01/15/2021 10:12:42,29.2,316,34.0822732
01/15/2021 10:12:52,29.19,316,34.03947511
01/15/2021 10:13:02,29.19,316,34.04942103
01/15/2021 10:13:12,29.17,316,34.04699846
01/15/2021 10:13:22,29.16,316,34.09409949
01/15/2021 10:13:32,29.15,316,34.08791753
01/15/2021 10:13:42,29.16,316,34.0242576
01/15/2021 10:13:52,29.12,316,34.04934875
01/15/2021 10:14:02,29.12,316,34.04934909
01/15/2021 10:14:12,29.1,316,34.00716563
01/15/2021 10:14:22,29.09,316,33.97461056
01/15/2021 10:14:32,29.09,316,33.99444197
01/15/2021 10:14:42,29.1,316,33.99394737
01/15/2021 10:14:52,29.08,316,34.0115131
01/15/2021 10:15:02,29.06,316,34.04232287
01/15/2021 10:15:12,29,316,34.0320025
01/15/2021 10:15:22,28.93,316,34.05866296
01/15/2021 10:15:32,28.83,316,33.9877942
01/15/2021 10:15:42,28.73,316,33.94381388
01/15/2021 10:15:52,28.66,316,33.9970708
01/15/2021 10:16:02,28.7,316,33.98828768
01/15/2021 10:16:12,28.71,316,33.95807971
01/15/2021 10:16:22,28.72,316,33.97729037
01/15/2021 10:16:32,28.72,316,34.04321051
01/15/2021 10:16:42,28.73,316,34.0129951
01/15/2021 10:16:52,28.76,316,34.01462218
01/15/2021 10:17:02,28.76,316,33.99485241
01/15/2021 10:17:12,28.76,316,33.99485276
01/15/2021 10:17:22,28.76,316,33.97180548
01/15/2021 10:17:32,28.71,316,33.97121134
01/15/2021 10:17:42,28.71,316,33.98771505
01/15/2021 10:17:52,28.73,316,33.95037991
01/15/2021 10:18:02,28.77,316,33.99427588
01/15/2021 10:18:12,28.79,316,33.9998566
01/15/2021 10:18:22,28.79,316,34.00313494
01/15/2021 10:18:32,28.81,316,33.99542009
01/15/2021 10:18:42,28.81,316,33.98559055
01/15/2021 10:18:52,28.82,316,33.95862498
01/15/2021 10:19:02,28.81,316,33.93617565
01/15/2021 10:19:12,28.73,316,33.64676235
01/15/2021 10:19:22,28.82,316,33.86338375
01/15/2021 10:19:32,28.77,316,33.68663324
01/15/2021 10:19:42,28.7,316,33.50649011
01/15/2021 10:19:52,28.73,316,33.43074265
01/15/2021 10:20:02,28.73,316,33.4115619
01/15/2021 10:20:12,28.79,316,33.79626917
01/15/2021 10:20:22,28.82,316,33.85683781
01/15/2021 10:20:32,28.83,316,33.86283059
01/15/2021 10:20:42,28.83,316,33.91866908
01/15/2021 10:20:52,28.83,316,33.86283129
01/15/2021 10:21:02,28.84,316,33.85900308
01/15/2021 10:21:12,28.83,316,33.81364476
01/15/2021 10:21:22,28.81,316,33.68763903
01/15/2021 10:21:32,28.84,316,33.91483109
01/15/2021 10:21:42,28.82,316,33.97510025
01/15/2021 10:21:52,28.81,316,33.89669378
01/15/2021 10:22:02,28.79,316,33.88798794
01/15/2021 10:22:12,28.81,316,33.8770443
01/15/2021 10:22:22,28.78,316,33.74459766
01/15/2021 10:22:32,28.81,316,33.76572833
01/15/2021 10:22:42,28.79,316,33.76689398
01/15/2021 10:22:52,28.78,316,33.71858524
01/15/2021 10:23:02,28.83,316,33.73857144
01/15/2021 10:23:12,28.84,316,33.72495564
01/15/2021 10:23:22,28.84,316,33.84264455
01/15/2021 10:23:32,28.87,316,33.79511159
01/15/2021 10:23:42,28.97,316,33.78322872
01/15/2021 10:23:52,28.89,316,33.66040725
01/15/2021 10:24:02,28.9,316,33.70534699
01/15/2021 10:24:12,29.06,316,33.87710315
01/15/2021 10:24:22,28.95,316,33.69291431
01/15/2021 10:24:32,28.99,316,33.72006925
01/15/2021 10:24:42,29.06,316,33.69036901
01/15/2021 10:24:52,29.09,316,33.83288083
01/15/2021 10:25:02,29.05,316,33.69080796
01/15/2021 10:25:12,29.05,316,33.73660274
01/15/2021 10:25:22,29.1,316,33.77651264
01/15/2021 10:25:32,29.06,316,33.76547951
01/15/2021 10:25:42,29.06,316,33.72294512
01/15/2021 10:25:52,29.06,316,33.73280914
01/15/2021 10:26:02,29.04,316,33.730533
01/15/2021 10:26:12,29.04,316,33.71749793
01/15/2021 10:26:22,29.05,316,33.81183453
01/15/2021 10:26:32,29.05,316,33.82831467
01/15/2021 10:26:42,29.09,316,33.87559931
01/15/2021 10:26:52,29.24,316,33.98739086
01/15/2021 10:27:02,29.19,316,33.84439459
01/15/2021 10:27:12,29.22,316,33.95189041
01/15/2021 10:27:22,29.26,316,33.94009179
01/15/2021 10:27:32,29.25,316,33.96378189
01/15/2021 10:27:42,29.22,316,33.92876933
01/15/2021 10:27:52,29.24,316,33.88816755
01/15/2021 10:28:02,29.17,316,33.87172293
01/15/2021 10:28:12,29.15,316,33.84636459
01/15/2021 10:28:22,29.14,316,33.82712501
01/15/2021 10:28:32,29.24,316,33.99732846
01/15/2021 10:28:42,29.21,316,33.95563578
01/15/2021 10:28:52,29.17,316,33.93110831
01/15/2021 10:29:02,29.19,316,34.04285408
